Student ID,Display Name,Team ID,Team Name,Team Grade,Adjustment,Final Grade
s2609,Iris Novak,3,Cobalt Innovations,79.1,0.0,79.1
s2603,Chloe Dubois,1,Aurora Devices,90.0,0.0,90.0
s2615,Omar Farah,5,Eclipse Gadgets,62.7,0.0,62.7
s2616,Priya Nair,5,Eclipse Gadgets,62.7,0.0,62.7
s2617,Quinn Murphy,5,Eclipse Gadgets,62.7,0.0,62.7
s2618,Rui Zhang,6,Prism Tech,68.4,0.0,68.4
s2620,Tomas Horak,6,Prism Tech,68.4,0.0,68.4
s2621,Uma Iyer,7,Quantum Edge,60.3,0.0,60.3
s2622,Viktor Popov,7,Quantum Edge,60.3,0.0,60.3
s2623,Wei Liu,7,Quantum Edge,60.3,0.0,60.3
s2624,Xin Zhao,8,Zenith Hardware,60.0,0.0,60.0
s2625,Yara Said,8,Zenith Hardware,60.0,0.0,60.0
s2626,Zoe Martin,8,Zenith Hardware,60.0,0.0,60.0
s2607,Grace Kim,2,Photon Labs,83.2,0.0,83.2
s2613,Marco Ruiz,4,Nova Circuit,76.2,0.0,76.2
s2605,Emma Rossi,1,Aurora Devices,90.0,0.0,90.0
s2602,Ben Okafor,1,Aurora Devices,90.0,0.0,90.0
s2619,Sara Lund,6,Prism Tech,68.4,0.0,68.4
s2604,Dev Patel,1,Aurora Devices,90.0,0.0,90.0
s2606,Felix Wang,2,Photon Labs,83.2,0.0,83.2
s2608,Hugo Silva,2,Photon Labs,83.2,0.0,83.2
s2612,Lina Haddad,4,Nova Circuit,76.2,0.0,76.2
s2614,Nora Ali,4,Nova Circuit,76.2,0.0,76.2
s2610,Jonas Berg,3,Cobalt Innovations,79.1,0.0,79.1
s2611,Kai Tanaka,3,Cobalt Innovations,79.1,0.0,79.1
s2601,Ava Chen,1,Aurora Devices,90.0,0.0,90.0
